player,pts
Luka Doncic,59.2476
Nikola Jokic,58.0066
LeBron James,57.88905592303067
Nikola Vucevic,55.40606121627064
Zach LaVine,55.25353491407439
Julius Randle,54.60579446799919
Giannis Antetokounmpo,54.344637855142054
Andre Drummond,53.66659177712874
Stephen Curry,53.60537439613527
Zion Williamson,53.51025
Malcolm Brogdon,53.41051200724966
Kawhi Leonard,53.25187224669604
Joel Embiid,52.75164858540736
Anthony Davis,52.74201127819549
Damian Lillard,52.626054966457474
Bam Adebayo,52.44644549763033
Ben Simmons,52.04130009775171
John Collins,51.37506864360242
Fred VanVleet,51.35220338983051
Trae Young,51.2090991604266
LaMelo Ball,51.15654993514916
Khris Middleton,51.096570612050485
Kevin Durant,50.84983286191823
Jerami Grant,50.791271347248575
Andrew Wiggins,50.345098039215685
Domantas Sabonis,50.115093954248366
Gordon Hayward,50.064030362389815
Kyrie Irving,49.72530186608123
Jrue Holiday,49.6351087562744
Clint Capela,49.41328365878726
James Harden,49.27498913515863
Myles Turner,49.00786037836397
Malik Beasley,48.94326439351593
Jayson Tatum,48.55982905982906
Chris Paul,48.528271834350946
Donovan Mitchell,48.435471885063166
Kyle Lowry,48.42011140428027
Rudy Gobert,48.11341354723708
Bradley Beal,47.98117204048011
Jaylen Brown,47.89420686225758
Chris Boucher,47.865307294658244
Tobias Harris,47.800915948275865
Brandon Ingram,47.60678690080683
Pascal Siakam,47.55169294391315
Kelly Oubre Jr.,47.50093779306033
Jordan Clarkson,47.410224438902745
Keldon Johnson,47.34231847927703
Harrison Barnes,47.07684210526316
Shai Gilgeous-Alexander,47.03841946951053
Terry Rozier,46.99577464788732
Lonzo Ball,46.843377596186585
Victor Oladipo,46.73937033430704
Collin Sexton,46.497156398104266
Paul George,46.10939226519337
De'Aaron Fox,46.079032660184495
Coby White,45.893953934740885
Justin Holiday,45.71866960676222
Christian Wood,45.65086614173229
Kevin Huerter,45.4913471326773
D'Angelo Russell,45.34103211836882
Anthony Edwards,45.20873427091043
Joe Harris,45.078130389789585
Devin Booker,45.00530752419606
Mike Conley,44.858857490124585
Jarrett Allen,44.83284586136297
DeMar DeRozan,44.763184843830004
Dejounte Murray,44.61391047976414
Tyrese Haliburton,44.476885644768856
Delon Wright,44.26221446700507
P.J. Washington,44.2534710463935
Will Barton,44.15270164447925
Nicolas Batum,44.14967811158798
RJ Barrett,44.11477721376198
Kyle Anderson,44.08210059171598
Mitchell Robinson,44.03929581892486
Montrezl Harrell,43.76119883983242
Hamidou Diallo,43.71754068716094
Aaron Gordon,43.61349809885932
Devonte' Graham,43.46477923828783
Kelly Olynyk,43.38347695766205
Cole Anthony,43.35372340425532
Dennis Schroder,43.343238034050756
Norman Powell,43.27063015753939
Jimmy Butler,43.266816143497756
Buddy Hield,43.26609511484956
Tim Hardaway Jr.,43.26355785837651
Mason Plumlee,43.23707186030893
Mikal Bridges,43.193809996689836
Deandre Ayton,43.02308984047019
John Wall,42.96787968808021
Larry Nance Jr.,42.896694214876035
Carmelo Anthony,42.89566772655008
Kyle Kuzma,42.77276205049732
Kristaps Porzingis,42.72319434102755
Jamal Murray,42.66844416562108
Terrence Ross,42.56868537666174
Josh Jackson,42.46323247797778
Lou Williams,42.40590484282073
Josh Hart,42.40533230293663
Naz Reid,42.39208103130755
Luguentz Dort,42.32100991884581
Cedi Osman,42.00877192982456
Russell Westbrook,41.981536926147704
Serge Ibaka,41.856503785271855
Richaun Holmes,41.85548686244204
Al Horford,41.78946322067594
Dillon Brooks,41.70177514792899
Jonas Valanciunas,41.65846886156287
Blake Griffin,41.51430457746479
Ivica Zubac,41.17309269893355
Khem Birch,41.16542904290429
Steven Adams,41.02494456762749
T.J. McConnell,40.90592734225621
Joe Ingles,40.88179117147708
Gary Trent Jr.,40.87942955920484
Bobby Portis,40.7842345505618
Bojan Bogdanovic,40.73346372688478
Miles Bridges,40.71711249541957
OG Anunoby,40.65677061085007
Immanuel Quickley,40.64755884917175
Thaddeus Young,40.45996168582376
Marvin Bagley III,40.39330218068536
Brook Lopez,40.25251396648045
Tyus Jones,40.15651801029159
Marcus Smart,40.02974444909929
Bismack Biyombo,39.798659269533054
Jeff Green,39.74704336399474
Royce O'Neale,39.69947897283215
Lonnie Walker IV,39.69213539074166
Patty Mills,39.57939393939394
Tyler Herro,39.53001644736842
Garrett Temple,39.441754554170664
Ja Morant,39.34441233140655
Taurean Prince,39.306569343065696
Darius Bazley,39.155567490153956
DeMarcus Cousins,38.74872499019223
LaMarcus Aldridge,38.74371980676329
Danny Green,38.72576736672052
Lauri Markkanen,38.711558044806516
Jakob Poeltl,38.707584050039095
CJ McCollum,38.60805341966815
Alec Burks,38.47330764997248
Shake Milton,38.472197705207414
DeAndre Jordan,38.37029042386185
Paul Millsap,38.34707971586425
Rudy Gay,38.18517049960349
Monte Morris,38.063946150610015
Goran Dragic,38.03963110667996
Derrick Rose,38.00957049486461
Andre Iguodala,37.90021459227468
Daniel Theis,37.88629914876368
Jae'Sean Tate,37.84254709254709
De'Andre Hunter,37.82869249394673
Luke Kennard,37.806390977443606
Kendrick Nunn,37.71167883211679
Cameron Johnson,37.70421006944444
Willie Cauley-Stein,37.699945887445885
Robert Covington,37.57967618236046
Marc Gasol,37.42450611476952
Enes Kanter,37.38617121354657
James Wiseman,37.384547461368655
Sterling Brown,37.32823470411234
Damion Lee,37.303886010362696
Patrick Williams,37.2992700729927
Jarred Vanderbilt,37.28183023872679
Derrick Favors,37.27721402214022
Isaiah Stewart,37.27720065609623
Nerlens Noel,37.21076458752515
Wendell Carter Jr.,37.20880535530381
Josh Richardson,37.186734693877554
Nickeil Alexander-Walker,36.917447018235585
Kent Bazemore,36.90431266846361
Darius Garland,36.881064834693
Jalen Brunson,36.60396475770925
Ricky Rubio,36.420864819479426
Devin Vassell,36.38184747583244
Michael Porter Jr.,36.34666986104456
P.J. Tucker,36.28560291060291
Seth Curry,36.267336683417085
Jae Crowder,36.252821670428894
Cam Reddish,36.18706536856745
Brandon Clarke,36.17783273381295
Tristan Thompson,36.056247008137866
Derrick Jones Jr.,35.97864864864865
Elfrid Payton,35.86739745403112
Tyrese Maxey,35.81687657430731
Timothe Luwawu-Cabarrot,35.55846235985051
Draymond Green,35.318977841315224
Eric Bledsoe,35.1797385620915
Denzel Valentine,35.17596810933941
Eric Gordon,35.173007609130956
Donte DiVincenzo,34.82492236024845
James Johnson,34.6059709521248
Otto Porter Jr.,34.5386301369863
JaMychal Green,34.537844611528826
Caris LeVert,34.33544921875
Duncan Robinson,34.26048284625159
Reggie Jackson,33.70516717325228
David Nwaba,33.59007633587786
Mike Muscala,33.584851936218676
Doug McDermott,33.45538215286115
Rui Hachimura,33.251395089285715
Reggie Bullock,32.90256959314775
Dwayne Bacon,32.49210288808664
Bruce Brown,32.46930533117932
Dwight Howard,32.40670812972012
Evan Fournier,31.287061288632792
Eric Paschall,29.045199326221223
